"COMMON_NAME","SPECIES_NAME","SPECIES_CODE","TOTAL_WEIGHT_KG_STATE","TOTAL_COUNT_STATE"
"walleye pollock","Gadus chalcogrammus",21740,10486.754,25184
"arrowtooth flounder","Atheresthes stomias",10110,8167.43,9220
"Pacific halibut","Hippoglossus stenolepis",10120,4916.734,2059
"Pacific cod","Gadus macrocephalus",21720,2947.406,1843
"flathead sole","Hippoglossoides elassodon",10130,2861.406,8415
"yellowfin sole","Limanda aspera",10210,1908.91,6305
"southern rock sole","Lepidopsetta bilineata",10262,1761.576,3304
"starry flounder","Platichthys stellatus",10220,1094.039,666
"big skate","Beringraja binoculata",420,685.635,41
"English sole","Parophrys vetulus",10170,611.455,817
"northern rock sole","Lepidopsetta polyxystra",10261,554.768,1635
"gigantic anemone","Metridium farcimen",43021,381.574,749
"eulachon","Thaleichthys pacificus",23010,334.114,8965
"yellow Irish lord","Hemilepidotus jordani",21347,250.014,382
"longnose skate","Beringraja rhina",440,230.859,27
"rex sole","Glyptocephalus zachirus",10200,188.887,896
"butter sole","Isopsetta isolepis",10270,187.835,585
"spiny dogfish","Squalus suckleyi",310,164.008,59
"Alaska plaice","Pleuronectes quadrituberculatus",10285,161.082,143
"Dover sole","Microstomus pacificus",10180,149.207,353
"great sculpin","Myoxocephalus polyacanthocephalus",21370,130.275,60
"rougheye rockfish","Sebastes aleutianus",30051,124.099,197
"plain sculpin","Myoxocephalus jaok",21371,118.724,110
"sablefish","Anoplopoma fimbria",20510,104.55,425
NA,"Strongylocentrotus sp.",82511,100.906,1336
"black rockfish","Sebastes melanops",30330,100.803,68
"sunflower sea star","Pycnopodia helianthoides",80160,97.249,79
"Pacific herring","Clupea pallasii",21110,86.301,1142
"lingcod","Ophiodon elongatus",21910,77.62,18
"spotted ratfish","Hydrolagus colliei",710,69.224,166
NA,"Metridium sp.",43010,56.149,391
"magistrate armhook squid","Berryteuthis magister",79210,50.83,356
"Tanner crab","Chionoecetes bairdi",68560,36.48,504
"saffron cod","Eleginus gracilis",21735,34.508,499
"sidestripe shrimp","Pandalus dispar",66120,33.232,3114
"pink salmon","Oncorhynchus gorbuscha",23230,29.26,26
"weathervane scallop","Patinopecten caurinus",74120,28.983,150
"giant octopus","Enteroctopus dofleini",78403,25.85,6
"Alaskan pink shrimp","Pandalus eous",66031,24.848,4025
"Oregon triton","Fusitriton oregonensis",72500,23.37,442
"red king crab","Paralithodes camtschaticus",69322,21.58,5
NA,"Chrysaora melanaster",40504,20.87,45
"chum salmon","Oncorhynchus keta",23235,19.656,6
"sand sole","Psettichthys melanostictus",10250,19.53,30
"petrale sole","Eopsetta jordani",10160,19.34,16
"chinook salmon","Oncorhynchus tshawytscha",23220,19.238,8
"Alaska skate","Arctoraja parmifera",471,19.01,2
"wattled eelpout","Lycodes palearis",24185,14.965,88
"lion's mane jelly","Cyanea capillata",40561,14.273,61
"actinid sea anemones unid.","Actiniidae",43080,13.994,117
"mottled sea star","Evasterias troschelii",80015,13.367,62
"Atka mackerel","Pleurogrammus monopterygius",21921,12.895,26
"northern horsemussel","Modiolus modiolus",74060,12.264,210
"giant wrymouth","Cryptacanthodes giganteus",23792,11.67,2
NA,"Demospongiae",91010,11.532,0
"bigmouth sculpin","Hemitripterus bolini",21420,10.938,4
"Bering skate","Bathyraja interrupta",435,9.957,4
"dusky rockfish","Sebastes variabilis",30152,9.53,9
"common mud star","Ctenodiscus crispatus",81780,8.712,1126
"heart urchin","Brisaster latifrons",82675,6.62,216
"empty bivalve shells",NA,99993,5.036,30
"Pacific tomcod","Microgadus proximus",21710,4.889,74
"spinyhead sculpin","Dasycottus setiger",21390,4.796,48
"shortfin eelpout","Lycodes brevipes",24191,4.706,73
"Pacific sandfish","Trichodon trichodon",21592,4.632,146
"quillback rockfish","Sebastes maliger",30320,4.274,11
"blackspotted rockfish","Sebastes melanostictus",30052,3.87,7
"sturgeon poacher","Podothecus accipenserinus",20040,3.65,56
"Pacific ocean perch","Sebastes alutus",30060,3.634,5
"lampshade sponge","Mycale loveni",91040,3.364,0
"sea anemone unid.","Actiniaria",43000,3.298,24
"basketstar","Gorgonocephalus eucnemis",83020,3.082,25
"purple-orange sea star","Asterias amurensis",81742,3.04,35
NA,"Balticina willemoesi",42012,2.929,12
"Pacific capelin","Mallotus villosus",23041,2.852,261
"smooth lumpsucker","Aptocyclus ventricosus",22175,2.523,2
"whitespotted greenling","Hexagrammos stelleri",21932,2.458,23
"Pacific viperfish","Chauliodus macouni",21010,2.442,4
"red sea urchin","Mesocentrotus franciscanus",82520,2.342,12
"tunicate unid.","Ascidiacea",98000,1.946,8
"California sea cucumber","Apostichopus californicus",85020,1.91,6
"reddish scallop","Chlamys rubida",74106,1.778,46
"sponge unid.","Porifera",91000,1.715,2
"Dungeness crab","Metacarcinus magister",68020,1.586,2
"Pacific lyre crab","Hyas lyratus",68578,1.563,55
"Pacific glass shrimp","Pasiphaea pacifica",66770,1.524,944
"egg yolk jelly","Phacellophora camtschatica",40505,1.522,6
"armorhead sculpin","Gymnocanthus galeatus",21316,1.494,11
"sand-grain imbedded ascidian","Aplidium soldatovi",98303,1.464,3
NA,"Aurelia labiata",40512,1.368,3
NA,"Atolla sp.",40510,1.335,1
"empty gastropod shells",NA,99994,1.327,21
"ocher sun star","Solaster sp. G (Clark)",81072,1.277,1
"longsnout prickleback","Lumpenella longirostris",23836,1.256,14
"northern smoothtongue","Leuroglossus schmidti",20622,1.222,100
"redbanded rockfish","Sebastes babcocki",30475,1.144,3
"club sponge","Tedania kagalaskai",91067,1.107,1
NA,"Solaster sp.",81060,1.105,12
"searcher","Bathymaster signatus",20720,1.051,5
"hairy hermit crab","Pagurus capillatus",69120,1.02,36
NA,"Leptasterias sp.",80595,0.997,7
"bigfin eelpout","Lycodes cortezianus",24140,0.977,22
NA,NA,42008,0.974,1
"sand sea star","Luidia foliolata",80810,0.856,6
"variegated snailfish","Liparis gibbus",22205,0.81,1
"graceful decorator crab","Oregonia gracilis",68510,0.783,39
"redbanded sea star","Orthasterias koehleri",80106,0.77,3
NA,"Chlamys sp.",74104,0.766,26
"Aleutian hermit","Pagurus aleuticus",69060,0.758,25
"jellyfish unid.","Scyphozoa",40500,0.724,8
"globular ascidian","Distaplia occidentalis",98212,0.721,19
"Berry armhook squid","Gonatus berryi",79202,0.718,4
"knobbyhand hermit","Pagurus confragosus",69070,0.698,29
"kelp greenling","Hexagrammos decagrammus",21935,0.687,4
"sea whip or sea pen unid.","Pennatuloidea",42000,0.62,3
"Alaskan hermit","Pagurus ochotensis",69090,0.598,11
"sea nettle","Chrysaora fuscescens",40515,0.577,1
"brown rimmed jelly","Aurelia limbata",40520,0.53,2
NA,"Urticina sp.",43040,0.514,2
"cushion sea star","Pteraster temnochiton",81312,0.512,7
"sea mouse unid.","Aphroditidae",50160,0.486,15
"widehand hermit crab","Elassochirus tenuimanus",69110,0.458,21
"mussel unid.","Mytilidae",74050,0.445,7
"grooved sea star","Crossaster borealis",81092,0.438,4
"Kamchatka flounder","Atheresthes evermanni",10112,0.415,2
"bristly tunicate","Halocynthia igaboja",98204,0.385,5
"hermit crab unid.","Paguridae",69010,0.38,6
"sea star unid.","Asteroidea",80000,0.366,2
"clonal plumose anemone","Metridium senile",43020,0.36,1
"rough purple sea anemone","Actinostola faeculenta",43002,0.359,1
"slender sole","Lyopsetta exilis",10150,0.356,3
NA,"Pteraster tesselatus",81315,0.311,1
"redstripe rockfish","Sebastes proriger",30430,0.309,1
"rose sea star","Crossaster papposus",81095,0.306,6
NA,"Clinocardium sp.",74980,0.3,5
"rainbow smelt","Osmerus mordax",23055,0.282,7
NA,"Polychaeta tubes",99998,0.256,0
NA,"Henricia sp.",80540,0.24,9
"splendid hermit","Labidochirus splendescens",69061,0.239,8
"sea potato","Styela rustica",98082,0.235,11
"blackspined sea star","Lethasterias nanimensis",80200,0.224,9
"sea peach","Halocynthia aurantium",98205,0.203,3
"darkfin sculpin","Malacocottus zonurus",21341,0.197,3
"orange-pink sea urchin","Strongylocentrotus fragilis",82530,0.194,2
"spud sponge","Histodermella kagigunensis",91066,0.19,1
"orange bat sea star","Ceramaster patagonicus",80730,0.189,6
"fuzzy hermit crab","Pagurus trigonocheirus",69086,0.188,3
"snail egg","Gastropoda egg",71001,0.188,0
"orange sea pen","Ptilosarcus gurneyi",42017,0.186,5
"skate egg case unid.","Rajiformes egg case",401,0.169,2
"blotched snailfish","Crystallichthys cyclospilus",22206,0.165,2
NA,"Buccinum sp.",72740,0.163,9
"hermit sponge","Suberites domuncula",91020,0.161,9
"chevron-tentacled anemone","Cribrinopsis fernaldi",43082,0.16,2
"snake prickleback","Lumpenus sagitta",23808,0.159,3
"Pacific sanddab","Citharichthys sordidus",10010,0.125,1
"big skate egg case","Beringraja binoculata egg case",421,0.121,3
"sponge hermit","Pagurus brandti",69042,0.118,5
"coho salmon","Oncorhynchus kisutch",23225,0.114,1
NA,"Pteraster jordani",81316,0.113,3
"longhand hermit","Pagurus tanneri",69100,0.111,2
NA,"Evasterias sp.",80010,0.1,1
"paddle ascidian","Distaplia smithi",98213,0.094,0
"bluespine hermit","Pagurus kennerlyi",69085,0.091,4
"eastern Pacific bobtail","Rossia pacifica",79020,0.091,2
"compound ascidian unid.",NA,98300,0.09,0
"hornyhand hermit","Pagurus cornutus",69080,0.088,5
"common brachiopod","Terebratalia transversa",97110,0.087,6
"purple hermit","Elassochirus cavimanus",69121,0.086,4
"giant Pacific chiton","Cryptochiton stelleri",70108,0.084,1
"Columbian barnacle","Hamatoscalpellum columbianum",65211,0.083,11
"setose hermit","Pagurus setosus",69097,0.082,2
"long-rayed star","Stylasterias forreri",80170,0.082,1
"tube worm unid.",NA,50010,0.078,0
NA,"Aequorea sp.",40506,0.076,1
"morning sun sea star","Solaster dawsoni",81064,0.075,2
"cow-eye tunicate","Ascidian sp. A",98001,0.075,10
"scarlet sea star","Pseudarchaster parelii",80660,0.071,2
"lampshell unid.","Brachiopoda",97000,0.068,5
"Oregon rock crab","Glebocarcinus oregonensis",68040,0.066,10
"hot dog zoanthid","Zoanthidae sp. A",43045,0.064,0
NA,"Aurelia sp.",40511,0.063,1
"circumboreal toad crab","Hyas coarctatus",68577,0.063,1
"northern sun sea star","Solaster endeca",81061,0.063,1
"yellow leafy sponge","Monanchora pulchra",91068,0.059,0
"northern rockfish","Sebastes polyspinis",30420,0.057,1
"longhorned decorator crab","Chorilia longipes",68520,0.056,5
NA,"Paralomis verrilli",69331,0.055,1
"Kennerleys venus","Humilaria kennerleyi",75025,0.055,1
"reticulate anemone","Actinauge verrillii",43001,0.054,2
NA,"Neptunea sp.",71800,0.05,3
NA,"Pagurus sp.",69035,0.049,5
"flatworm unid.","Platyhelminthes",92000,0.048,1
"slender eelblenny","Lumpenus fabricii",23807,0.045,1
NA,"Yoldia sp.",74414,0.045,5
"sailfin sculpin","Nautichthys oculofasciatus",21406,0.044,1
NA,"Psolus sp.",85210,0.043,1
NA,"Serripes sp.",75284,0.042,1
NA,"Stomphia sp.",43030,0.04,1
NA,"Synallactes challengeri",85290,0.039,1
NA,"Ceramaster sp.",80728,0.037,1
"notched brittlestar","Ophiura sarsii",83320,0.036,6
"Pacific sand lance","Ammodytes personatus",20204,0.032,3
NA,"Emplectonema sp.",92502,0.031,1
"Nuttall cockle","Clinocardium nuttallii",74982,0.03,6
"rhinoceros crab","Rhinolithodes wosnessenskii",69317,0.028,1
"flatspine triangle crab","Phyllolithodes papillosus",69318,0.028,2
"parma sand dollar","Echinarachnius parma",82740,0.028,2
"longnose skate egg case","Beringraja rhina egg case",441,0.026,1
NA,"Suberites sp.",91015,0.026,0
NA,"Crangon sp.",66502,0.025,10
NA,"Chlamylla sp.",71202,0.025,1
"blackfin poacher","Bathyagonus nigripinnis",20038,0.024,1
"red striated sea anemone",NA,43007,0.024,2
"spot shrimp","Pandalus platyceros",66040,0.024,2
NA,"Beringius sp.",71769,0.024,1
"bamboo worm unid.","Maldanidae",92900,0.024,3
"graceful kelp crab","Pugettia gracilis",69531,0.023,3
"vermilion sea star","Mediaster aequalis",80710,0.023,1
NA,"Microporina sp.",95102,0.023,0
"empty barnacle shells",NA,99991,0.021,0
"broad Yoldia","Megayoldia thraciaeformis",74419,0.02,1
"hairy cockle","Ciliatocardium ciliatum",74983,0.02,1
"yellow papillate sponge",NA,91081,0.019,1
"hydroid unid.","Hydroidolina",40011,0.018,1
NA,NA,75601,0.018,1
NA,"Pteraster sp.",81310,0.018,1
"mottled anemone","Urticina crassicornis",43042,0.017,1
"fish larvae unid.",NA,2,0.016,15
"bivalve unid.","Bivalvia",74000,0.016,1
"leather sea star","Dermasterias imbricata",80910,0.016,1
"sweet sea potato","Molpadia intermedia",85120,0.015,1
"coonstripe shrimp","Pandalus hypsinotus",66050,0.014,3
"moonsnail egg unid.","Naticidae egg",71511,0.013,1
NA,"Lillipathes lillei",41551,0.013,0
"sawback poacher","Sarritor frenatus",20006,0.012,1
NA,"Gonatus sp.",79200,0.012,2
"fourhorn poacher","Hypsagonus quadricornis",20071,0.008,1
"nudibranch unid.","Nudibranchia",71010,0.008,1
NA,"Strongylocentrotus pallidus",82526,0.008,1
"black specked ribbon worm","Emplectonema sp. (Clark 2006)",92505,0.008,1
"Pacific sergestid","Eusergestes similis",66005,0.007,2
"ridged Crangon","Crangon dalli",66530,0.007,5
"rusty moonsnail","Cryptonatica russa",71537,0.007,1
NA,"Stegophiura ponderosa",83340,0.007,1
"Nelson argid","Argis levior",66613,0.006,1
"ribbed bryozoan","Rhamphostomella costata",95070,0.006,1
"glassy tunicate","Ascidia paratropa",98322,0.006,1
"daubed shanny","Leptoclinus maculatus",23805,0.005,1
"whitebarred prickleback","Poroclinus rothrocki",23850,0.005,1
"amphipod unid.","Amphipoda",60100,0.005,1
"isopod unid.","Isopoda",62000,0.005,3
NA,"Mytilus sp.",74065,0.004,1
NA,"Cucumaria sp.",85200,0.004,1
NA,"Leucilla nuttingi",91106,0.004,1
NA,"Macoma sp.",75240,0.003,1
"clawed armhook squid","Gonatus onyx",79201,0.003,1
"tubular bryozoan","Tubulipora sp.",95090,0.003,1
"shortscale eualid","Eualus suckleyi",66193,0.002,1
NA,"Careproctus sp.",22219,0.001,1
"striped sea leech","Notostomum cyclostomum",59111,0.001,1
"Aleutian moonsnail","Cryptonatica aleutica",71535,0.001,1
"crisscrossed Yoldia","Yoldia aeolica",74416,0.001,1
"northern Yoldia","Yoldia hyperborea",74420,0.001,4
"stout nutclam","Nuculana pernula",74436,0.001,1
NA,"Megangulus bodegensis",75206,0.001,1
