"COMMON_NAME","SPECIES_NAME","SPECIES_CODE","TOTAL_WEIGHT_KG","TOTAL_COUNT"
"beaked barnacle","Balanus rostratus",65205,0.55,1
"squid unid.","Decapodiformes",79000,0.543,18
"brown rimmed jelly","Aurelia limbata",40520,0.53,2
NA,"Arctomelon sp.",72789,0.524,12
"purple hermit","Elassochirus cavimanus",69121,0.52,27
NA,"Suberites sp.",91015,0.518,3
"Oregon rock crab","Glebocarcinus oregonensis",68040,0.481,65
"scorched snailfish","Careproctus ambustus",22290,0.479,7
NA,"Callogorgia compressa",44090,0.476,0
NA,"Arctomelon boreale",72791,0.45,4
"white spotted red rockfish unid.","Sebastes sp.",30040,0.448,3
"mussel unid.","Mytilidae",74050,0.445,7
NA,"Pteraster jordani",81316,0.44,5
NA,"Aphrodita negligens",50192,0.436,18
NA,"Stenobrachius sp.",22601,0.433,43
NA,"Microporina articulata",95100,0.428,1
"rainbow smelt","Osmerus mordax",23055,0.423,11
"Kamchatka flounder","Atheresthes evermanni",10112,0.415,2
NA,"Pseudarchaster alascensis",80620,0.409,21
"blackfin snailfish","Careproctus cypselurus",22228,0.408,2
NA,"Diplopteraster sp.",81361,0.404,3
"splitnose rockfish","Sebastes diploproa",30190,0.392,3
"hermit crab unid.","Paguridae",69010,0.384,8
NA,"Clinocardium sp.",74980,0.383,9
NA,"Lophaster sp.",81120,0.377,4
"Pribilof whelk","Neptunea pribiloffensis",71820,0.376,8
"northern sun sea star","Solaster endeca",81061,0.368,7
NA,"Pagurus sp.",69035,0.364,19
NA,"Pteraster sp.",81310,0.362,16
NA,"Stylaster sp.",44030,0.359,1
NA,"Synallactes sp.",85289,0.355,6
"chevron-tentacled anemone","Cribrinopsis fernaldi",43082,0.345,5
"nudibranch unid.","Nudibranchia",71010,0.339,7
"longhand hermit","Pagurus tanneri",69100,0.338,19
NA,"Beringius sp.",71769,0.313,6
"hot dog zoanthid","Zoanthidae sp. A",43045,0.309,2
"Pacific lamprey","Entosphenus tridentatus",21,0.305,1
NA,"Stomphia sp.",43030,0.3,8
NA,"Pseudarchaster sp.",80610,0.295,14
NA,"Pyrulofusus sp.",71747,0.292,3
"rhinoceros crab","Rhinolithodes wosnessenskii",69317,0.288,11
"left-hand whelk","Pyrulofusus harpa",71755,0.287,4
"beautiful sun star","Solaster spectabilis",81068,0.28,2
"ridged blood star","Henricia aspera",80543,0.278,18
"rosy Tritonia","Tritonia tetraquetra",71030,0.275,6
"snail egg","Gastropoda egg",71001,0.274,3
"emarginate snailfish","Careproctus furcellus",22229,0.27,1
NA,"Lycodes sp.",24180,0.27,5
"ringed lucine","Lucinoma annulata",75420,0.267,3
"pinpoint lampfish","Lampanyctus regalis",22624,0.264,10
"Alaska skate egg case","Arctoraja parmifera egg case",474,0.258,13
NA,"Pteraster marsippus",81321,0.257,5
NA,"Polychaeta tubes",99998,0.256,0
"roughspine sculpin","Triglops macellus",21356,0.249,5
"California lamp shell","Laqueus erythraeus",97116,0.239,43
"bivalve unid.","Bivalvia",74000,0.238,12
"hornyhand hermit","Pagurus cornutus",69080,0.233,13
"Alaskan spiny star","Hippasteria sp. E (Clark)",80637,0.232,3
"Hanasaki king crab","Paralithodes brevipes",69320,0.231,6
NA,"Ceramaster stellatus",80733,0.231,6
NA,"Mediaster sp.",80690,0.23,2
"cannonball sun star","Heterozonias alternatus",81100,0.226,2
"notched brittlestar","Ophiura sarsii",83320,0.225,46
NA,"Hippasteria lepidonotus",80670,0.218,1
NA,"Octopoteuthis deletron",79504,0.214,14
"giant scale worm","Eunoe nodosa",56311,0.211,9
NA,"Solaster hypothrissus",81062,0.21,1
NA,"Serripes sp.",75284,0.208,5
"robust blacksmelt","Pseudobathylagus milleri",20620,0.207,8
"rough hat sponge","Cladocroce attu",91089,0.206,1
"oblique smoothcockle","Serripes notabilis",75287,0.202,9
"blackfin sculpin","Malacocottus kincaidi",21340,0.2,4
"snake prickleback","Lumpenus sagitta",23808,0.197,4
NA,"Psolus sp.",85210,0.193,4
"Aleutian moonsnail","Cryptonatica aleutica",71535,0.186,9
NA,"Taonius borealis",79443,0.186,4
"pink rose star","Crossaster sp. B (Clark)",81094,0.184,6
"vermilion sea star","Mediaster aequalis",80710,0.181,6
"white neptune","Neptunea amianta",71810,0.18,9
NA,"Beringius kennicottii",71770,0.178,1
"Townsend hermit crab","Pagurus townsendi",69050,0.167,3
NA,"Nearchaster variabilis",81912,0.166,9
"blotched snailfish","Crystallichthys cyclospilus",22206,0.165,2
"compound ascidian unid.",NA,98300,0.165,3
"parma sand dollar","Echinarachnius parma",82740,0.16,7
"spectacled sculpin","Triglops scepticus",21354,0.158,5
"blood sea star","Henricia leviuscula",80544,0.158,7
"Pacific sand lance","Ammodytes personatus",20204,0.147,20
"smoothskin octopus","Muusoctopus leioderma",78012,0.145,3
"purple striated sea anemone",NA,43006,0.145,5
NA,"Nearchaster sp.",81919,0.144,8
"winged trophon","Scabrotrophon stuarti",72407,0.14,5
"fruit leather bryozoan","Alcyonidium pedunculatum",95036,0.135,2
"morning sun sea star","Solaster dawsoni",81064,0.134,3
"ginseng sponge","Halichondria oblonga",91241,0.134,0
NA,"Crangon sp.",66502,0.132,83
"glassy tunicate","Ascidia paratropa",98322,0.123,3
"mottled anemone","Urticina crassicornis",43042,0.123,4
"big skate egg case","Beringraja binoculata egg case",421,0.121,3
"longhorned decorator crab","Chorilia longipes",68520,0.119,10
"nodal bamboo coral unid.","Keratoisis sp.",44088,0.113,0
NA,"Colus sp.",71710,0.113,3
"sea cucumber unid.","Holothuroidea",85000,0.113,7
"barnacle unid.","Thoracica",65100,0.109,1
"Arctic sand lance","Ammodytes hexapterus",20203,0.101,15
"longfin dragonfish","Tactostoma macropus",22410,0.101,3
NA,"Volutopsius sp.",71750,0.1,1
NA,"Chiroteuthis sp.",79403,0.1,1
"boreopacific armhook squid","Gonatopsis borealis",79252,0.098,3
NA,"Solaster sp. A (Clark 1997)",81067,0.096,3
NA,"Crossaster sp.",81090,0.096,8
NA,"Chiroteuthis calyx",79404,0.095,1
"sea cockroach","Rocinela angustata",62025,0.093,39
"wrinkled star","Pteraster militaris",81320,0.093,6
"Pacific red hermit","Elassochirus gilli",69122,0.092,4
NA,"Ceratopsion rugosum",91231,0.092,0
NA,"Aurelia sp.",40511,0.091,5
NA,"Odontohenricia fisheri",80550,0.091,3
NA,"Buccinidae",72735,0.087,2
"clawed armhook squid","Gonatus onyx",79201,0.085,9
"giant Pacific chiton","Cryptochiton stelleri",70108,0.084,1
"Columbian barnacle","Hamatoscalpellum columbianum",65211,0.083,11
"blackfin poacher","Bathyagonus nigripinnis",20038,0.082,4
"setose hermit","Pagurus setosus",69097,0.082,2
NA,"Chlamylla sp.",71202,0.081,5
"stony coral unid.","Scleractinia",44000,0.08,0
"snail unid.","Gastropoda",71500,0.08,3
"tube worm unid.",NA,50010,0.078,0
"swimming anemone","Stomphia coccinea",43032,0.076,4
NA,"Gonatidae",79199,0.076,15
NA,"Muusoctopus oregonensis",78455,0.075,1
"cow-eye tunicate","Ascidian sp. A",98001,0.075,10
"Pacific spiny lumpsucker","Eumicrotremus orbis",22178,0.073,7
"Alaskan lumpsucker","Eumicrotremus gyrinops",22180,0.072,5
NA,"Emplectonema sp.",92502,0.067,2
"smelt unid.","Osmeridae",23000,0.065,1
NA,"Cheiraster sp.",81908,0.065,3
"circumboreal toad crab","Hyas coarctatus",68577,0.063,1
"Aleutian sea star","Leptasterias hylodes",80112,0.063,1
"prolific nipple sponge","Polymastia sp. A (Clark 2006)",91113,0.063,0
"longfinger hermit","Pagurus rathbuni",69095,0.062,4
NA,"Cryptonatica sp.",71524,0.061,5
"Aleutian skate egg case","Bathyraja aleutica egg case",473,0.06,1
"archidorid nudibranchs","Dorididae",71250,0.057,5
NA,"Ophiopholis japonica",83391,0.056,5
NA,"Paralomis verrilli",69331,0.055,1
"Kennerleys venus","Humilaria kennerleyi",75025,0.055,1
"grunt sculpin","Rhamphocottus richardsonii",21415,0.054,3
"Adler waryfish","Scopelosaurus adleri",23622,0.053,1
"ubiquitous brittle star","Ophiopholis aculeata",83400,0.052,10
"polychaete worm unid.","Polychaeta",50000,0.051,6
NA,"Calliostoma sp.",72511,0.051,6
"broadfin thornyhead","Sebastolobus macrochir",30025,0.05,1
"split-nose decorator crab","Oregonia bifurca",68502,0.05,2
"flatworm unid.","Platyhelminthes",92000,0.049,2
"falsejingle unid.","Anomiidae",75610,0.046,1
"light-edged ribbon worm","Cerebratulus californiensis",92802,0.046,3
"slender eelblenny","Lumpenus fabricii",23807,0.045,1
NA,"Yoldia sp.",74414,0.045,5
"sailfin sculpin","Nautichthys oculofasciatus",21406,0.044,1
NA,"Cidarina cidaris",72525,0.043,4
"spiky ball sponge","Craniella sputnika",99983,0.042,0
"ribbed bryozoan","Rhamphostomella costata",95070,0.041,2
"crested sea star","Lophaster furcilliger",81130,0.04,1
"bigeye poacher","Bathyagonus pentacanthus",20037,0.038,1
"giant orange tochui","Tochuina gigantea",71012,0.038,1
NA,"Astarte sp.",74640,0.038,1
"roughpatch shrimp","Pandalus stenolepis",66055,0.037,8
NA,"Crisularia pacifica",95017,0.037,0
"longnose skate egg case","Beringraja rhina egg case",441,0.036,2
"Bering hermit","Pagurus beringanus",69087,0.035,1
"Pacific sea lemon","Peltodoris nobilis",71230,0.035,1
"chiton unid.","Polyplacophora",70100,0.034,3
"festive Tritonia","Tritonia festiva",71026,0.032,1
"whitebarred prickleback","Poroclinus rothrocki",23850,0.031,3
"Bering skate egg case","Bathyraja interrupta egg case",436,0.031,5
"pinchbug","Grimothea quadrispina",69556,0.031,7
"threaded sculpin","Gymnocanthus pistilliger",21314,0.03,1
NA,"Beringius undatus",71776,0.03,1
"Nuttall cockle","Clinocardium nuttallii",74982,0.03,6
NA,"Octopus sp.",78020,0.029,2
"neon yellow ascidian",NA,99910,0.029,2
"flatspine triangle crab","Phyllolithodes papillosus",69318,0.028,2
NA,"Lophaster sp. A (Clark)",81121,0.028,2
"brokenline lampfish","Lampanyctus jordani",22625,0.027,2
NA,NA,44029,0.026,0
"blacksmelt unid.","Bathylagus sp.",20619,0.025,2
"Pacific flatnose","Antimora microlepis",21731,0.025,1
NA,"Tridonta montagui",74647,0.025,1
"bamboo worm unid.","Maldanidae",92900,0.025,4
"leopard skate egg case","Bathyraja panthera egg case",478,0.024,1
"slender seawhips","Stylatula sp.",42004,0.024,1
NA,"Actinostola sp.",43110,0.024,1
NA,NA,44089,0.024,1
"graceful kelp crab","Pugettia gracilis",69531,0.023,3
"firm finger sponge","Axinella blanca",91064,0.023,0
NA,"Microporina sp.",95102,0.023,0
"ridged Crangon","Crangon dalli",66530,0.022,13
"scaled crab","Placetron wosnessenskii",69336,0.022,1
"frilled dogwinkle","Nucella lamellosa",71542,0.022,1
"pale moonsnail","Euspira pallida",71580,0.021,3
"isopod unid.","Isopoda",62000,0.02,10
"white night doris","Doris odhneri",71260,0.02,1
NA,"Diaulula sp. A (Clark 2006)",71269,0.02,1
"broad Yoldia","Megayoldia thraciaeformis",74419,0.02,1
NA,"Glycymeris septentrionalis",74485,0.02,7
"hairy cockle","Ciliatocardium ciliatum",74983,0.02,1
"bluntnose snailfish","Paraliparis sp. cf. dactylosus (Orr and Baldwin)",22276,0.019,3
NA,"Hippasteria heathi",80645,0.018,1
"oval heart urchin",NA,82673,0.018,1
NA,"Alcyonidium sp.",95038,0.018,0
"puffball sponges","Craniella sp.",99987,0.018,0
"fish larvae unid.",NA,2,0.017,16
"amphipod unid.","Amphipoda",60100,0.017,3
"Aleutian alligatorfish","Aspidophoroides monopterygius",20050,0.016,2
"pupa utility worm","Travisia pupa",50221,0.016,2
"kuro argid","Argis lar",66611,0.016,7
"Nelson argid","Argis levior",66613,0.016,3
"leather sea star","Dermasterias imbricata",80910,0.016,1
"daubed shanny","Leptoclinus maculatus",23805,0.015,3
NA,"Neomenia cf. yamamotoi (Clark 2006)",70062,0.015,1
NA,"Boreotrophon pacificus",72421,0.015,1
"spiny Henricia","Henricia leviuscula spiculifera",80549,0.015,1
NA,"Ctenodiscus sp.",81779,0.015,2
"shark egg case unid.","Selachii egg case",160,0.014,2
"coonstripe shrimp","Pandalus hypsinotus",66050,0.014,3
"peanut worm unid.","Sipuncula",94000,0.014,2
"moonsnail egg unid.","Naticidae egg",71511,0.013,1
NA,"Lillipathes lillei",41551,0.013,0
"sawback poacher","Sarritor frenatus",20006,0.012,1
NA,"Fusitriton sp.",72501,0.012,1
"fourhorn poacher","Hypsagonus quadricornis",20071,0.011,2
"champagne flute hydroid","Bonneviella sp. A (Clark 2006)",40012,0.011,0
NA,"Tarsaster alaskanus",80190,0.011,1
"Bathyraja sp. egg case","Bathyraja sp. egg case",402,0.01,1
"spatulate sculpin","Icelus spatula",21441,0.01,1
"smalldisk snailfish","Careproctus gilberti",22233,0.01,1
NA,"Callogorgia fraseri",44091,0.01,1
"humpy shrimp","Pandalus goniurus",66045,0.01,4
NA,"Argis sp.",66570,0.01,2
"moonsnail","Naticidae",71510,0.01,1
"swollen whelk","Buccinum oedematum",72747,0.01,1
NA,"Myriapora orientalis",95006,0.01,0
"lattice-work bryozoan","Phidolopora pacifica",95015,0.01,0
"dironid nudibranchs","Dironidae",71210,0.009,2
"North Pacific sea star","Leptychaster arcticus",81835,0.009,2
"gray starsnout","Bathyagonus alascanus",20035,0.008,1
NA,"Calcigorgia spiculifera",41701,0.008,0
"elliptical Astarte","Tridonta elliptica",74643,0.008,3
NA,"Ophiopholis sp.",83360,0.008,2
"black specked ribbon worm","Emplectonema sp. (Clark 2006)",92505,0.008,1
"Pacific sergestid","Eusergestes similis",66005,0.007,2
"rusty moonsnail","Cryptonatica russa",71537,0.007,1
"yellowleg pandalid","Pandalus tridens",66033,0.006,2
NA,"Cryptolithodes sp.",69329,0.006,1
"featherstar crinoid","Florometra serratissima",82770,0.006,4
NA,"Paraliparis sp.",22250,0.005,2
"crested bigscale","Poromitra crassiceps",22310,0.005,1
NA,"Bryozoichthys sp.",23863,0.005,1
"sea raspberry","Gersemia sp.",41201,0.005,1
"dock shrimp","Pandalus danae",66025,0.005,1
"circumpolar eualid","Eualus gaimardii",66175,0.005,1
"horned shrimp","Paracrangon echinata",66615,0.005,1
"pea crab","Rathbunixa occidentalis",68072,0.005,1
NA,"Asterias sp.",81741,0.005,1
"lumpsucker unid.","Cyclopteridae",22170,0.004,1
NA,"Mytilus sp.",74065,0.004,1
"Akutan limops","Limopsis akutanica",74481,0.004,2
NA,"Lethasterias sp.",80201,0.004,1
NA,"Cucumaria sp.",85200,0.004,1
NA,"Leucilla nuttingi",91106,0.004,1
"disc-top tunicate","Chelyosoma productum",98331,0.004,1
NA,"Polycheles sp.",69559,0.003,3
NA,"Cadlina modesta",71105,0.003,1
NA,"Macoma sp.",75240,0.003,1
"tubular bryozoan","Tubulipora sp.",95090,0.003,1
"thorny sculpin","Icelus spiniger",21438,0.002,1
"prickleback unid.","Stichaeidae",23800,0.002,6
"scale worm unid.","Polynoidae",56300,0.002,1
"striped sea leech","Notostomum cyclostomum",59111,0.002,2
NA,NA,59120,0.002,1
"euphausiid unid.","Euphausiacea",63500,0.002,11
NA,"Mysidae",64100,0.002,4
"shrimp unid.",NA,66000,0.002,1
"pandalid shrimp unid.","Pandalidae",66019,0.002,1
"shortscale eualid","Eualus suckleyi",66193,0.002,1
"viperfish unid.","Chauliodontinae",21000,0.001,1
NA,"Careproctus sp.",22219,0.001,1
"red and white banded sea nymph","Cheilonereis cyclurus",54030,0.001,1
"thorny scaleworm","Eunoe senta",56313,0.001,1
"spiny lebbeid","Lebbeus groenlandicus",66203,0.001,1
"crisscrossed Yoldia","Yoldia aeolica",74416,0.001,1
"northern Yoldia","Yoldia hyperborea",74420,0.001,4
"stout nutclam","Nuculana pernula",74436,0.001,1
NA,"Megangulus bodegensis",75206,0.001,1
"squid egg unid.","Decapodiformes egg",79002,0.001,1
"crinoid unid.",NA,82750,0.001,1
